t,s1,s2
12.54,-349.3241090489908,-2914.756245300507
12.56,-354.40588569454894,-2863.5455388693304
12.58,-357.34580785670573,-2815.087484436611
12.6,-353.53075562071933,-2773.98075570159
12.62,-344.2449328971338,-2735.1008807886606
12.64,-331.1666494771944,-2695.9545254037607
12.66,-316.16480156406845,-2656.400763137712
12.68,-303.15123218380694,-2617.6665450794253
12.7,-293.3718104908649,-2580.546541207613
12.72,-288.88619054069204,-2545.850370309883
12.74,-290.5740432365161,-2510.981643432562
12.76,-297.9883763974024,-2471.110250088522
12.78,-308.64164464506337,-2428.0057607295694
12.8,-315.9616341375629,-2392.4230806524547
12.82,-320.1277777986437,-2359.6396397098074
12.84,-321.8319486136041,-2325.712107852048
12.86,-322.42503019081823,-2289.238852581973
12.88,-325.2005514561969,-2255.520000153912
12.9,-331.82510302705606,-2222.5126461635887
12.92,-344.1670084319526,-2185.238144116363
12.94,-361.174980677476,-2138.160159375458
12.96,-375.16943213262886,-2097.8961330428274
12.98,-383.9096542969325,-2065.2607102637417
13.0,-388.50553584807005,-2032.6474839095983
13.02,-390.47165896128047,-1997.696293935552
13.04,-392.9893482115722,-1964.8322861745528
13.06,-397.2218851611962,-1932.8638721601033
13.08,-404.70918824824633,-1898.5378517770368
13.1,-415.9364538455482,-1857.3199307111208
13.12,-425.89403143409027,-1816.03385999336
13.14,-429.97449301522033,-1780.784772465484
